record_id,item_id,cargo_id,item_weight,timestamp
0,Item_0,Cargo_9,37,2022-07-01 00:00:00
1,Item_0,Cargo_2,37,2022-07-01 00:00:06
2,Item_1,Cargo_1,95,2022-07-01 00:00:08
3,Item_1,Cargo_5,95,2022-07-01 00:00:09
4,Item_2,Cargo_8,43,2022-07-01 00:00:16
5,Item_0,Cargo_9,37,2022-07-01 00:00:24
6,Item_1,Cargo_3,95,2022-07-01 00:00:25
7,Item_1,Cargo_5,95,2022-07-01 00:00:32
8,Item_2,Cargo_8,43,2022-07-01 00:00:33
9,Item_2,Cargo_6,43,2022-07-01 00:00:37
10,Item_0,Cargo_9,37,2022-07-01 00:00:46
11,Item_2,Cargo_8,43,2022-07-01 00:00:54
12,Item_1,Cargo_4,95,2022-07-01 00:00:57
13,Item_1,Cargo_7,95,2022-07-01 00:01:03
14,Item_2,Cargo_8,43,2022-07-01 00:01:04
15,Item_2,Cargo_0,43,2022-07-01 00:01:06
16,Item_1,Cargo_5,95,2022-07-01 00:01:09
17,Item_1,Cargo_3,95,2022-07-01 00:01:12
18,Item_2,Cargo_8,43,2022-07-01 00:01:17
19,Item_1,Cargo_7,95,2022-07-01 00:01:23
20,Item_1,Cargo_9,95,2022-07-01 00:01:28
21,Item_2,Cargo_5,43,2022-07-01 00:01:34
22,Item_2,Cargo_0,43,2022-07-01 00:01:44
23,Item_2,Cargo_0,43,2022-07-01 00:01:52
24,Item_0,Cargo_1,37,2022-07-01 00:01:58
25,Item_2,Cargo_9,43,2022-07-01 00:02:06
26,Item_1,Cargo_4,95,2022-07-01 00:02:08
27,Item_1,Cargo_4,95,2022-07-01 00:02:16
28,Item_2,Cargo_6,43,2022-07-01 00:02:21
29,Item_2,Cargo_4,43,2022-07-01 00:02:24
30,Item_1,Cargo_9,95,2022-07-01 00:02:31
31,Item_0,Cargo_1,37,2022-07-01 00:02:35
32,Item_2,Cargo_6,43,2022-07-01 00:02:39
33,Item_2,Cargo_6,43,2022-07-01 00:02:46
