record_id,item_id,cargo_id,item_weight,timestamp
100,Item_1,Cargo_9,95,2022-07-01 00:09:39
101,Item_2,Cargo_1,43,2022-07-01 00:09:48
102,Item_0,Cargo_2,37,2022-07-01 00:09:56
103,Item_0,Cargo_3,37,2022-07-01 00:10:06
104,Item_2,Cargo_8,43,2022-07-01 00:10:08
105,Item_2,Cargo_0,43,2022-07-01 00:10:18
106,Item_0,Cargo_3,37,2022-07-01 00:10:23
107,Item_2,Cargo_6,43,2022-07-01 00:10:31
108,Item_1,Cargo_7,95,2022-07-01 00:10:35
109,Item_2,Cargo_8,43,2022-07-01 00:10:44
110,Item_0,Cargo_2,37,2022-07-01 00:10:45
111,Item_2,Cargo_4,43,2022-07-01 00:10:48
112,Item_0,Cargo_4,37,2022-07-01 00:10:56
113,Item_2,Cargo_5,43,2022-07-01 00:11:05
114,Item_1,Cargo_9,95,2022-07-01 00:11:13
115,Item_0,Cargo_7,37,2022-07-01 00:11:21
116,Item_2,Cargo_0,43,2022-07-01 00:11:22
117,Item_2,Cargo_8,43,2022-07-01 00:11:31
118,Item_0,Cargo_1,37,2022-07-01 00:11:33
119,Item_0,Cargo_2,37,2022-07-01 00:11:40
120,Item_2,Cargo_0,43,2022-07-01 00:11:45
121,Item_2,Cargo_1,43,2022-07-01 00:11:50
122,Item_0,Cargo_3,37,2022-07-01 00:11:52
123,Item_2,Cargo_1,43,2022-07-01 00:12:02
124,Item_2,Cargo_6,43,2022-07-01 00:12:03
125,Item_0,Cargo_2,37,2022-07-01 00:12:05
126,Item_2,Cargo_1,43,2022-07-01 00:12:13
127,Item_2,Cargo_6,43,2022-07-01 00:12:18
128,Item_2,Cargo_8,43,2022-07-01 00:12:21
129,Item_0,Cargo_2,37,2022-07-01 00:12:30
130,Item_1,Cargo_3,95,2022-07-01 00:12:31
131,Item_2,Cargo_7,43,2022-07-01 00:12:37
132,Item_1,Cargo_4,95,2022-07-01 00:12:43
133,Item_0,Cargo_3,37,2022-07-01 00:12:45
134,Item_2,Cargo_1,43,2022-07-01 00:12:55
135,Item_2,Cargo_0,43,2022-07-01 00:13:05
136,Item_2,Cargo_6,43,2022-07-01 00:13:11
137,Item_0,Cargo_2,37,2022-07-01 00:13:17
138,Item_2,Cargo_8,43,2022-07-01 00:13:24
139,Item_2,Cargo_5,43,2022-07-01 00:13:26
140,Item_2,Cargo_1,43,2022-07-01 00:13:32
141,Item_2,Cargo_8,43,2022-07-01 00:13:34
142,Item_0,Cargo_1,37,2022-07-01 00:13:39
143,Item_1,Cargo_3,95,2022-07-01 00:13:46
144,Item_0,Cargo_2,37,2022-07-01 00:13:54
145,Item_0,Cargo_2,37,2022-07-01 00:14:01
146,Item_1,Cargo_1,95,2022-07-01 00:14:03
147,Item_0,Cargo_7,37,2022-07-01 00:14:06
148,Item_2,Cargo_8,43,2022-07-01 00:14:12
149,Item_0,Cargo_2,37,2022-07-01 00:14:18
150,Item_2,Cargo_0,43,2022-07-01 00:14:19
151,Item_0,Cargo_4,37,2022-07-01 00:14:27
152,Item_0,Cargo_1,37,2022-07-01 00:14:33
153,Item_0,Cargo_2,37,2022-07-01 00:14:43
154,Item_2,Cargo_8,43,2022-07-01 00:14:52
155,Item_0,Cargo_2,37,2022-07-01 00:14:57
156,Item_2,Cargo_0,43,2022-07-01 00:15:06
157,Item_2,Cargo_8,43,2022-07-01 00:15:07
158,Item_2,Cargo_0,43,2022-07-01 00:15:15
159,Item_0,Cargo_7,37,2022-07-01 00:15:18
160,Item_2,Cargo_0,43,2022-07-01 00:15:24
161,Item_1,Cargo_1,95,2022-07-01 00:15:26
162,Item_2,Cargo_5,43,2022-07-01 00:15:34
163,Item_2,Cargo_6,43,2022-07-01 00:15:42
164,Item_0,Cargo_2,37,2022-07-01 00:15:51
165,Item_2,Cargo_7,43,2022-07-01 00:16:00
166,Item_2,Cargo_8,43,2022-07-01 00:16:06
167,Item_1,Cargo_7,95,2022-07-01 00:16:15
168,Item_2,Cargo_6,43,2022-07-01 00:16:19
169,Item_1,Cargo_3,95,2022-07-01 00:16:22
170,Item_1,Cargo_4,95,2022-07-01 00:16:24
171,Item_2,Cargo_1,43,2022-07-01 00:16:29
172,Item_2,Cargo_5,43,2022-07-01 00:16:39
173,Item_2,Cargo_0,43,2022-07-01 00:16:43
174,Item_0,Cargo_1,37,2022-07-01 00:16:44
175,Item_0,Cargo_2,37,2022-07-01 00:16:48
176,Item_1,Cargo_4,95,2022-07-01 00:16:58
177,Item_1,Cargo_3,95,2022-07-01 00:17:04
178,Item_2,Cargo_7,43,2022-07-01 00:17:09
179,Item_2,Cargo_6,43,2022-07-01 00:17:17
180,Item_0,Cargo_7,37,2022-07-01 00:17:20
181,Item_2,Cargo_8,43,2022-07-01 00:17:24
182,Item_1,Cargo_9,95,2022-07-01 00:17:26
183,Item_1,Cargo_3,95,2022-07-01 00:17:34
184,Item_0,Cargo_3,37,2022-07-01 00:17:43
185,Item_2,Cargo_6,43,2022-07-01 00:17:45
186,Item_1,Cargo_1,95,2022-07-01 00:17:48
187,Item_2,Cargo_8,43,2022-07-01 00:17:55
188,Item_1,Cargo_3,95,2022-07-01 00:18:01
189,Item_0,Cargo_1,37,2022-07-01 00:18:06
190,Item_0,Cargo_3,37,2022-07-01 00:18:08
191,Item_0,Cargo_3,37,2022-07-01 00:18:10
